Customer ID,Recency,Frequency,Monetary,KMeans_Cluster,Segment
12001,15,1,39.55,3,New / Low-Engagement Customers
12002,1,24,3294.0099999999998,2,High-Value Loyalists
12003,13,6,94.02,3,New / Low-Engagement Customers
12004,2,10,153.8,0,Potential Loyalists
12005,151,15,657.52,4,At-Risk / Churning
12006,154,6,284.49,4,At-Risk / Churning
12007,14,10,193.36,0,Potential Loyalists
12008,21,10,173.76000000000002,0,Potential Loyalists
12009,312,1,33.62,1,Lapsed / Dormant
12010,130,11,518.8100000000001,4,At-Risk / Churning
12011,130,14,668.86,4,At-Risk / Churning
12012,124,11,589.37,4,At-Risk / Churning
12013,233,1,22.35,1,Lapsed / Dormant
12014,13,7,122.8,0,Potential Loyalists
12015,17,6,287.01,0,Potential Loyalists
12016,1,13,702.6,0,Potential Loyalists
12017,22,1,30.54,3,New / Low-Engagement Customers
12018,191,1,45.68,1,Lapsed / Dormant
12019,220,7,343.0,4,At-Risk / Churning
12020,144,10,428.57,4,At-Risk / Churning
12021,3,7,377.35,0,Potential Loyalists
12022,8,14,813.64,0,Potential Loyalists
12023,21,1,17.799999999999997,3,New / Low-Engagement Customers
12024,297,1,28.869999999999997,1,Lapsed / Dormant
12025,337,1,15.81,1,Lapsed / Dormant
12026,10,3,168.03,3,New / Low-Engagement Customers
12027,268,1,24.049999999999997,1,Lapsed / Dormant
12028,1,24,3404.88,2,High-Value Loyalists
12029,20,4,76.75999999999999,3,New / Low-Engagement Customers
12030,2,30,3872.6800000000003,2,High-Value Loyalists
12031,8,6,102.27,3,New / Low-Engagement Customers
12032,5,14,757.94,0,Potential Loyalists
12033,16,1,7.92,3,New / Low-Engagement Customers
12034,21,9,150.94,0,Potential Loyalists
12035,5,3,107.13,3,New / Low-Engagement Customers
12036,224,1,29.04,1,Lapsed / Dormant
12037,240,1,44.55,1,Lapsed / Dormant
12038,140,6,266.75,4,At-Risk / Churning
12039,207,5,282.77,4,At-Risk / Churning
12040,292,1,23.43,1,Lapsed / Dormant
12041,1,29,3767.8399999999997,2,High-Value Loyalists
12042,1,30,4113.39,2,High-Value Loyalists
12043,3,8,133.91,0,Potential Loyalists
12044,1,20,2635.2,2,High-Value Loyalists
12045,2,19,2584.68,2,High-Value Loyalists
12046,344,1,15.309999999999999,1,Lapsed / Dormant
12047,349,1,14.5,1,Lapsed / Dormant
12048,221,1,45.3,1,Lapsed / Dormant
12049,4,10,528.49,0,Potential Loyalists
12050,138,13,515.88,4,At-Risk / Churning
12051,2,8,125.96,0,Potential Loyalists
12052,13,1,30.0,3,New / Low-Engagement Customers
12053,1,1,28.93,3,New / Low-Engagement Customers
12054,1,10,192.61,0,Potential Loyalists
12055,2,13,772.36,0,Potential Loyalists
12056,29,9,148.17,0,Potential Loyalists
12057,135,5,305.3,4,At-Risk / Churning
12058,2,8,330.99,0,Potential Loyalists
12059,4,6,294.06,0,Potential Loyalists
12060,21,2,122.02000000000001,3,New / Low-Engagement Customers
12061,23,7,114.35,0,Potential Loyalists
12062,5,7,357.32,0,Potential Loyalists
12063,1,16,2002.97,2,High-Value Loyalists
12064,52,4,51.31,3,New / Low-Engagement Customers
12065,208,1,18.4,1,Lapsed / Dormant
12066,265,1,26.4,1,Lapsed / Dormant
12067,1,23,3351.3,2,High-Value Loyalists
12068,133,11,479.43,4,At-Risk / Churning
12069,21,2,91.34,3,New / Low-Engagement Customers
12070,229,1,20.369999999999997,1,Lapsed / Dormant
12071,140,14,754.69,4,At-Risk / Churning
12072,149,9,470.13,4,At-Risk / Churning
12073,324,1,19.79,1,Lapsed / Dormant
12074,182,6,333.32,4,At-Risk / Churning
12075,1,26,3453.62,2,High-Value Loyalists
12076,127,14,695.63,4,At-Risk / Churning
12077,169,8,486.69,4,At-Risk / Churning
12078,2,14,753.18,0,Potential Loyalists
12079,144,6,224.03,4,At-Risk / Churning
12080,271,1,51.010000000000005,1,Lapsed / Dormant
12081,1,9,122.08,0,Potential Loyalists
12082,4,9,158.71,0,Potential Loyalists
12083,140,5,203.33,4,At-Risk / Churning
12084,3,10,607.78,0,Potential Loyalists
12085,125,9,467.07,4,At-Risk / Churning
12086,172,7,316.4,4,At-Risk / Churning
12087,10,8,461.82,0,Potential Loyalists
12088,23,8,129.83,0,Potential Loyalists
12089,10,8,182.5,0,Potential Loyalists
12090,17,10,549.2,0,Potential Loyalists
12091,303,1,38.010000000000005,1,Lapsed / Dormant
12092,4,24,3221.36,2,High-Value Loyalists
12093,1,2,124.26,3,New / Low-Engagement Customers
12094,11,3,138.96,3,New / Low-Engagement Customers
12095,12,5,102.47,3,New / Low-Engagement Customers
12096,22,8,156.08,0,Potential Loyalists
12097,142,14,551.15,4,At-Risk / Churning
12098,5,6,355.28000000000003,0,Potential Loyalists
12099,126,10,454.36,4,At-Risk / Churning
12100,1,26,3561.98,2,High-Value Loyalists
12101,256,1,45.24,1,Lapsed / Dormant
12102,154,11,455.57,4,At-Risk / Churning
12103,24,2,114.88,3,New / Low-Engagement Customers
12104,1,10,600.55,0,Potential Loyalists
12105,3,7,400.53,0,Potential Loyalists
12106,123,5,270.23,4,At-Risk / Churning
12107,3,19,2589.76,2,High-Value Loyalists
12108,3,6,91.69,3,New / Low-Engagement Customers
12109,1,15,1907.8799999999999,2,High-Value Loyalists
12110,6,11,682.29,0,Potential Loyalists
12111,3,7,395.5,0,Potential Loyalists
12112,30,7,103.53,3,New / Low-Engagement Customers
12113,9,3,90.19,3,New / Low-Engagement Customers
12114,1,16,2227.17,2,High-Value Loyalists
12115,133,9,410.45,4,At-Risk / Churning
12116,4,1,54.46,3,New / Low-Engagement Customers
12117,12,6,108.99000000000001,3,New / Low-Engagement Customers
12118,6,2,76.96,3,New / Low-Engagement Customers
12119,142,7,345.98,4,At-Risk / Churning
12120,18,3,98.5,3,New / Low-Engagement Customers
12121,4,10,161.82999999999998,0,Potential Loyalists
12122,1,27,3858.28,2,High-Value Loyalists
12123,1,20,2847.76,2,High-Value Loyalists
12124,11,8,134.58,0,Potential Loyalists
12125,137,15,796.36,4,At-Risk / Churning
12126,4,14,835.88,0,Potential Loyalists
12127,1,14,772.79,0,Potential Loyalists
12128,125,10,460.75,4,At-Risk / Churning
12129,16,4,45.46,3,New / Low-Engagement Customers
12130,33,8,132.82,0,Potential Loyalists
12131,32,10,166.5,0,Potential Loyalists
12132,9,5,85.3,3,New / Low-Engagement Customers
12133,15,10,208.48999999999998,0,Potential Loyalists
12134,147,9,404.08,4,At-Risk / Churning
12135,4,10,555.67,0,Potential Loyalists
12136,27,1,49.89,3,New / Low-Engagement Customers
12137,363,1,41.57,1,Lapsed / Dormant
12138,1,30,4298.7300000000005,2,High-Value Loyalists
12139,1,23,3238.63,2,High-Value Loyalists
12140,341,1,16.44,1,Lapsed / Dormant
12141,8,1,21.990000000000002,3,New / Low-Engagement Customers
12142,17,1,36.63,3,New / Low-Engagement Customers
12143,269,1,22.25,1,Lapsed / Dormant
12144,2,10,220.81,0,Potential Loyalists
12145,125,13,533.29,4,At-Risk / Churning
12146,1,13,726.26,0,Potential Loyalists
12147,1,23,3394.88,2,High-Value Loyalists
12148,174,9,393.88,4,At-Risk / Churning
12149,4,11,591.65,0,Potential Loyalists
12150,2,12,609.94,0,Potential Loyalists
12151,166,8,431.07,4,At-Risk / Churning
12152,197,1,39.78,1,Lapsed / Dormant
12153,129,13,629.11,4,At-Risk / Churning
12154,3,3,114.86,3,New / Low-Engagement Customers
12155,13,13,705.14,0,Potential Loyalists
12156,123,12,652.69,4,At-Risk / Churning
12157,186,8,367.48,4,At-Risk / Churning
12158,2,13,684.6,0,Potential Loyalists
12159,157,5,258.4,4,At-Risk / Churning
12160,145,14,752.54,4,At-Risk / Churning
12161,15,3,126.11,3,New / Low-Engagement Customers
12162,128,7,270.15,4,At-Risk / Churning
12163,4,28,4008.5099999999998,2,High-Value Loyalists
12164,130,7,348.58,4,At-Risk / Churning
12165,17,2,80.78,3,New / Low-Engagement Customers
12166,308,1,27.009999999999998,1,Lapsed / Dormant
12167,297,1,17.770000000000003,1,Lapsed / Dormant
